#8121254162 Attempt: 1 NumFcs=3 (FCPro - Solved)
2h 87 8c 81 2b 4a 41 a1 43 c3 
28 a8 78 7a 72 a2 82 8a 87 a7 
27 2a 28 a8 78 b7 3b 3a 32 a2 
52 5a 53 a3 23 2a 25 a5 1a 12 
a2 42 4a 41 a1 21 2a 24 a4 35 
3a 32 a2 52 5a 53 a3 23 2a 25 
32 35 a3 b3 14 1b 1a 25 12 a2 
b2 42 4b 4a 41 a1 b1 21 2b 2a 
24 a4 b4 6b 6a 62 a2 b2 6b 14 
1a 16 a6 46 4a 41 a1 61 6a 64 
16 14 a1 2a 61 26 14 a6 2a 12 
42 41 21 24 b2 6b 14 a2 62 3a 
36 b2 1b 56 53 63 a6 4a 41 b4 
3b 63 65 b5 3b 36 a1 2a 56 53 
63 65 c6 14 1c 35 b3 4b 41 c4 
b1 2c 2b 26 14 12 42 41 b6 21 
24 14 1b 12 b2 42 4b 41 b1 21 
2b 24 c6 b4 14 1c 1b 12 b2 c2 
42 4c 4b 41 b1 c1 21 2c 2b 24 
a6 b4 c4 14 1c 1b 1a 12 a2 b2 
c2 42 4c 4b 4a 41 a1 b1 c1 21 
2c 2b 2a 24 12 a4 b4 c4 3c 3b 
3a 24 32 a2 b2 52 5b 5a 53 a3 
b3 23 2b 2a 25 a5 b5 1b 1a 12 
a2 b2 42 4b 4a 41 a1 b1 21 2b 
2a 24 a4 b4 35 3b 3a 32 a2 b2 
52 5b 5a 53 a3 b3 23 2b 2a 25 
a5 3a 35 32 52 53 a2 b3 23 c2 
5c 5b 56 14 1a 15 a5 45 4a 41 
a1 51 5a 54 b6 a4 14 1b 1a 15 
a5 b5 45 4b 4a 41 a1 b1 51 5b 
5a 54 c6 a4 b4 14 1c 1b 1a 15 
a5 b5 c5 45 4c 4b 4a 41 a1 b1 
c1 51 5c 5b 5a 54 15 a4 b4 c4 
3c 3b 36 3a 54 b6 c6 3c 3b 35 
b5 c5 a5 2c 2b 25 b5 65 6b 6a 
62 a2 b2 52 5b 5a 56 a6 b6 26 
2b 2a 25 32 a5 b5 7b 7a ah 3a 
65 c6 8c 87 c7 2c 32 a2 c2 3c 
31 3a 8h 31 
