#3934136627 Attempt: 1 NumFcs=3 (FCPro - Solved)
2h 2a 24 21 2b 24 5c a2 52 32 
a3 23 2a 21 a1 31 3a 32 a2 5a 
54 12 a4 1a 13 a3 23 2a 21 a1 
31 3a 32 a2 6a 64 12 a4 1a 13 
a3 23 2a 21 a1 31 3a 32 a2 6a 
65 12 16 13 63 23 21 26 31 36 
32 62 63 a5 12 13 23 2a 26 21 
61 a1 31 3a 36 32 62 a2 12 1a 
16 13 63 41 45 46 a3 23 2a 15 
21 a1 31 3a 32 a2 12 1a 13 a3 
4a 41 a1 61 23 2a 26 a6 36 3a 
32 a2 62 6a 63 26 23 a2 5a 51 
a1 62 23 2a 26 a6 36 3a 32 a2 
62 6a 63 16 c1 a3 5c 5a 54 23 
a4 c4 1c 14 1a 64 16 15 65 a5 
4a 45 41 46 51 56 54 a1 64 65 
45 4a 46 a6 56 5a 54 a4 64 6a 
65 46 45 a4 1a 16 15 54 51 64 
61 41 46 45 a1 65 4a 46 a6 1a 
15 a5 1a 16 a6 2a 21 a1 31 3a 
32 a2 12 1a 13 a3 5a 56 51 61 
65 23 15 16 71 b7 56 5b a6 7a 
17 51 b1 5b 54 b4 1b 14 b4 8b 
87 86 6h 51 58 18 45 41 51 45 
48 58 15 18 58 21 25 15 31 32 
52 53 65 68 23 12 58 31 35 15 
21 23 53 52 65 32 13 61 51 65 
64 54 16 14 64 25 21 26 51 25 
65 16 15 65 41 46 16 81 86 16 
81 84 14 61 64 14 61 68 18 46 
48 41 81 84 61 86 46 48 68 64 
a6 1a 18 14 84 81 76 41 48 18 
14 c8 4c 41 c1 8c 81 a1 8a 84 
a4 1a 14 c4 1c 18 c8 3c 31 51 
53 13 15 41 48 35 c3 a8 2c 2a 
b2 7b 72 b2 62 6b a6 c6 8c 18 
4a 41 a1 8a 81 c1 8c 84 c4 1c 
14 c4 1c 18 c8 2c 21 b2 c1 4c 
48 4b 12 c8 7c 47 b7 8b 87 b7 
8b 84 b4 7b 74 b4 7b 78 b8 3b 
37 57 53 73 75 47 48 35 b3 78 
3b 37 57 53 73 75 67 35 b3 1b 
81 a8 6a b6 8b 18 c1 26 2c 21 
c1 61 6c a6 1a 76 17 c1 2c 82 
b8 a1 6b 6a c6 8c 28 a2 b2 7b 
4a 47 a7 8a 87 a7 8a 84 a4 7a 
74 a4 7a 78 a8 1a 17 b1 a1 17 
1b 16 1a 41 48 18 61 b1 71 7b 
87 c8 6c b6 8b 78 a7 16 1a 17 
a7 4a 41 a1 67 6a 86 81 61 86 
84 64 16 14 64 16 18 68 41 48 
46 86 84 16 81 41 48 18 14 c1 
6c 68 64 c8 4c 46 c6 8c 86 c6 
8c 84 c4 6c 64 c4 6c 68 c8 3c 
36 56 53 63 65 46 48 35 c3 b8 
2c 2b c2 8c 68 b6 7b 26 72 71 
a1 b1 6b 6a 86 c8 2c b2 8b 68 
c6 7c 87 b8 2b a2 b2 6b 1a 16 
b1 8b 78 47 a1 8a 87 84 74 78 
a4 3a 37 16 57 53 73 75 47 48 
78 35 37 57 53 73 a7 5a 52 a2 
4a 45 a5 3a 32 a2 7a 73 23 a2 
4a 47 a7 5a 57 a7 2a 25 35 32 
52 53 15 23 a2 8a 87 65 61 a7 
2a 26 51 36 32 62 63 76 b7 23 
a2 5b 1a 15 b1 7b 67 86 a1 7a 
76 78 15 68 67 c6 87 8c a7 1a 
16 a6 56 5a 75 b7 1b 81 c1 7c 
71 51 75 78 58 15 18 58 15 17 
57 21 25 35 32 52 53 65 23 12 
61 a6 56 2a 25 35 32 52 53 85 
c8 61 6c 23 a2 1a 16 a6 2a 21 
31 32 12 13 61 23 a2 8a 87 57 
65 c6 8c 15 81 c1 56 5c 85 84 
54 15 14 54 21 25 35 32 52 53 
65 23 12 61 c6 51 4c 45 c5 7c 
75 c5 16 1c 51 a5 7a 74 a4 5a 
54 14 51 57 17 45 47 41 71 74 
51 75 45 47 57 54 c5 1c 17 14 
74 71 65 41 47 17 14 61 74 c4 
51 56 2c 25 35 32 52 53 45 a4 
23 c2 16 1c 2a 21 31 32 12 13 
61 23 a2 4a 54 65 c6 7c 15 41 
a4 56 5a 75 c5 7c 78 c8 4c 45 
47 48 15 78 41 47 17 51 58 18 
51 57 17 25 21 31 32 12 13 61 
23 52 65 a6 15 2a 21 31 32 12 
13 61 23 a2 7a 51 56 75 a5 8a 
85 a5 8a 87 a7 5a 57 a7 5a 58 
a8 2a 25 35 32 52 53 65 23 a2 
7a 78 15 16 71 81 87 a1 56 5a 
15 17 18 57 21 25 35 32 52 53 
65 23 12 61 a6 56 2a 25 35 32 
52 53 75 78 61 23 a2 6a 58 b5 
1b 16 b6 2b 21 31 32 12 13 61 
23 b2 6b 65 b5 15 2b 21 31 32 
12 13 71 23 b2 8b 81 87 17 18 
b7 2b 21 31 32 12 13 71 78 23 
b2 c8 6c 5b 56 a5 8a 18 71 b5 
8b 81 87 17 18 c1 56 5c 51 c1 
78 7c 61 b8 5b 75 c5 8c 85 c5 
8c 87 c7 5c 57 c7 5c 58 75 a7 
c8 6c 1a 16 c1 7c 57 85 a1 6a 
86 56 75 76 56 85 84 54 65 c6 
7c 74 c4 6c 64 54 65 67 57 46 
47 45 75 74 65 76 46 47 67 64 
a6 5a 57 54 74 75 16 45 47 57 
54 c7 4c 45 c5 7c 75 a5 7a 74 
a4 5a 54 c4 5c 57 c7 1c 15 c5 
65 6c 46 47 a7 1a c1 7c 67 a6 
51 5a 56 45 a6 16 1a 41 51 a5 
7a 71 c1 7c 74 c4 1c 14 c4 1c 
17 c7 2c 21 31 32 12 13 41 47 
23 c2 65 6c a7 5a 56 a6 2a 25 
35 32 52 53 65 23 a2 7a 17 61 
c6 56 2c 25 61 35 32 52 53 b5 
6b 65 b5 23 c2 15 1c 4b 41 b1 
7b 71 b1 7b 74 b4 1b 14 b4 1b 
17 b7 2b 21 31 32 12 13 41 47 
17 23 21 31 32 12 b1 6b 16 13 
23 21 31 63 c6 3c 32 12 13 b1 
23 c2 6c 4b 46 b6 7b 76 b6 7b 
74 b4 6b 64 b4 6b 67 b7 2b 26 
36 32 62 63 46 a4 23 b2 5b 5a 
51 a1 b1 5b 1a 15 c1 4c 64 b6 
1b 16 56 a5 1a 41 c4 7c 56 75 
c5 7c 78 c8 4c 45 47 48 15 78 
21 27 37 32 72 73 57 58 23 12 
78 31 37 17 21 23 73 72 57 54 
32 35 74 25 23 27 53 57 37 35 
32 52 72 75 73 53 23 27 25 75 
35 37 32 72 52 15 37 31 71 37 
36 73 17 13 73 21 27 23 73 13 
27 21 26 71 42 47 27 12 16 26 
41 42 12 71 72 12 37 31 36 71 
37 67 63 73 76 57 53 56 13 16 
36 35 31 51 61 76 25 27 57 85 
87 57 85 82 52 75 72 52 75 78 
58 17 61 65 63 53 73 15 17 16 
76 36 53 41 47 45 75 15 47 21 
28 18 a1 7a 87 c8 1c b1 41 4b 
42 72 47 3h 3h 28 24 2h 4h 3h 
3h 14 17 47 81 84 82 8h 3h 42 
12 37 84 85 81 83 51 53 58 41 
38 35 85 84 83 
