#2181991670 Attempt: 1 NumFcs=3 (FCPro - Solved)
32 31 1c 1b 7a b7 c7 6c 62 63 
c5 1c 13 63 61 31 36 23 25 35 
16 12 13 62 63 61 31 36 21 c2 
4c 43 c3 1c 16 c6 2c 21 61 c6 
3c 73 74 72 75 42 45 47 c2 3c 
35 25 23 27 53 57 52 54 72 74 
75 32 34 24 27 25 75 45 c4 1c 
13 12 17 32 c2 1c 13 c3 73 2c 
27 23 73 c3 1c 12 17 c2 1c a1 
71 1a 17 c1 a1 17 1c 1a 5h 5h 
b1 63 6b bh 1b 18 
