#373139184 Attempt: 1 NumFcs=3 (FCPro - Solved)
72 57 48 42 1c 7b 75 b5 8b 8a 
b1 5b 56 57 b6 5b 65 67 57 a5 
6a b6 a6 7b 76 7a b6 5b 75 a5 
6a 65 a5 7a 74 a4 6a 64 a4 2a 
26 a6 2a 21 a1 5a 54 a4 6a 61 
a1 2a 26 23 63 a3 1a 16 a6 1a 
13 a3 6a 63 a3 1a 16 12 62 a2 
3a 31 36 32 a1 62 3a 36 a6 2a 
26 a6 2a 23 a3 1a 16 a6 2a 21 
a1 3a 31 a1 3a 32 a2 1a 12 a2 
1a 13 a3 b1 5b 5a 25 23 53 a5 
b5 4b 45 4a b5 1b a1 5a 51 54 
a1 5a 15 14 54 b5 1b a1 b1 4b 
41 4a b1 5b a5 1a 15 14 54 51 
a4 2a 25 a5 3a 35 a5 3a 32 a2 
4a 41 a1 5a 52 a2 5a 53 a3 6a 
65 a5 2a 23 a3 6a 63 a3 5a 53 
a3 2a 25 a5 6a 65 a5 3a 36 a6 
3a 35 a5 6a 65 a5 3a 36 a6 3a 
32 a2 6a 62 a2 3a 76 36 32 73 
67 63 73 46 47 43 73 63 17 13 
16 73 b7 3b 36 31 61 63 b1 5b 
56 52 62 b2 1b 13 16 b3 1b c1 
6c b6 c6 8c 8b 82 b2 c2 3c 36 
3b c6 1c b1 6b 61 63 b1 6b 16 
13 63 a6 1a b1 a1 3b 31 3a b1 
7b a7 1a 17 13 73 71 a3 8a 87 
85 75 a5 2a 28 25 27 85 a5 2a 
28 a8 78 3a 31 37 a1 6a 16 17 
13 73 71 63 57 56 58 76 37 31 
71 57 87 85 75 78 67 65 75 a6 
5a 57 58 78 a8 5a 57 52 72 a2 
8a 87 82 72 a2 8a 87 85 75 a5 
2a 28 25 27 85 a5 b8 5b 5a 57 
52 72 75 a2 b2 5b 5a 57 a7 b7 
2b 2a 27 a7 b7 2b 2a 25 a5 b5 
7b 7a 75 a5 b5 7b 7a 72 a2 b2 
c7 5c 5b 52 5a b2 c2 6c 2b 26 
b6 2b 25 a2 b2 6b 62 2a 25 26 
a5 b5 7b 2a 27 a7 67 5a 56 57 
67 56 a7 5a 52 a2 8a 62 78 76 
72 62 82 76 78 75 85 65 27 28 
25 26 85 75 28 27 72 82 62 57 
58 52 56 82 72 58 57 87 67 28 
26 27 86 28 78 72 82 87 a8 6a 
62 a2 c6 2c 2a 27 a7 c7 2c 2a 
25 a5 c5 7c 7a 75 a5 c5 7c 7a 
72 a2 c2 5c 5a 52 57 a2 c2 6c 
2a 26 27 25 75 72 65 a5 2a 27 
26 76 a6 5a 57 56 76 a6 5a 57 
52 72 a2 b7 6b 6a 62 a2 b2 6b 
6a 65 a5 b5 2b 2a 25 26 a5 b5 
7b 2a 27 a7 8a 67 58 56 57 86 
58 78 75 85 87 c8 6c 65 36 c5 
1c 16 13 63 61 c3 5c 56 57 c6 
8c 58 78 75 85 87 68 65 85 a6 
5a 58 57 87 a7 5a 58 52 82 a2 
7a 78 72 82 a2 7a 78 75 85 a5 
2a 27 25 28 75 a5 3a 31 37 a1 
6a 26 86 18 17 13 73 71 83 27 
28 78 37 31 71 67 68 78 26 27 
67 c6 2c 26 c6 7c 76 c6 2c a7 
27 2a 24 2a 3h 5h 5h 4h 3h 5h 
4h 6h 12 13 23 41 42 
